config_hash,dataset_id,dataset_revision,device,evaluation_protocol,history,label_mapping,merged_unmerged_max_abs_error,method,model_id,model_revision,optimizer_updates,parameters,peak_allocated_gpu_memory,peak_reserved_gpu_memory,run_id,seed,status,study_group,task,track,training_seconds
c14b21990e5ab562814fb255466805cd6b6c650053015cf9d25005aa26502073,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 368.3590746887565, 'loss': 0.6389299665755857, 'skipped_updates': 0, 'training_seconds': 8.961364676000358, 'tuning_accuracy': 0.6485013623978202, 'tuning_f1': 0.7867768595041322}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 368.52249339087814, 'loss': 0.6270802199984867, 'skipped_updates': 0, 'training_seconds': 8.95739082199998, 'tuning_accuracy': 0.6485013623978202, 'tuning_f1': 0.7867768595041322}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 368.66511702135097, 'loss': 0.6067111775026484, 'skipped_updates': 0, 'training_seconds': 8.953925521000201, 'tuning_accuracy': 0.6566757493188011, 'tuning_f1': 0.7878787878787878}, {'accuracy': 0.6936274509803921, 'f1': 0.8159057437407953, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",4.76837158203125e-07,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124942082, 'trainable': 887042, 'trainable_fraction': 0.007099625568909601}",992832512,2873098240,custom_lora-3-c14b2199,3,completed,core,mrpc,practical,37.08743342000025
b9333fb9e09b8c672451f759138b957992519f8962d95db569f986eb8dd02f1d,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 129.87957974048484, 'loss': 0.5129038961401285, 'skipped_updates': 0, 'training_seconds': 25.415850640999906, 'tuning_accuracy': 0.8474114441416893, 'tuning_f1': 0.8857142857142857}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 130.02092484211127, 'loss': 0.35273404617863763, 'skipped_updates': 0, 'training_seconds': 25.388221195999904, 'tuning_accuracy': 0.8147138964577657, 'tuning_f1': 0.8726591760299626}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 129.58894203508103, 'loss': 0.24457035850526057, 'skipped_updates': 0, 'training_seconds': 25.472852453000087, 'tuning_accuracy': 0.8528610354223434, 'tuning_f1': 0.8860759493670886}, {'accuracy': 0.8774509803921569, 'f1': 0.9077490774907749, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",,full_finetune,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124647170, 'trainable': 124647170, 'trainable_fraction': 1.0}",2570403328,2852126720,full_finetune-1-b9333fb9,1,completed,core,mrpc,practical,97.52251014100011
fa577e80c64da31316aed4ac5acbe9aa99b65c5aa500379443ea8653ea876b55,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 129.55510067660347, 'loss': 0.49978875262396677, 'skipped_updates': 0, 'training_seconds': 25.47950627, 'tuning_accuracy': 0.7465940054495913, 'tuning_f1': 0.7780429594272077}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 129.5933308956276, 'loss': 0.35085025815784787, 'skipped_updates': 0, 'training_seconds': 25.47198977900007, 'tuning_accuracy': 0.8419618528610354, 'tuning_f1': 0.8849206349206349}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 129.59812043135307, 'loss': 0.2485919679914202, 'skipped_updates': 0, 'training_seconds': 25.47104841500004, 'tuning_accuracy': 0.8446866485013624, 'tuning_f1': 0.8857715430861723}, {'accuracy': 0.8700980392156863, 'f1': 0.9041591320072333, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",,full_finetune,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124647170, 'trainable': 124647170, 'trainable_fraction': 1.0}",2587142656,2852126720,full_finetune-2-fa577e80,2,completed,core,mrpc,practical,99.50835602799998
c3e01f4832e5059b8abc7a0660c33f08b3dcc358fe6176b30b6f84345c04223c,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 129.47031682967022, 'loss': 0.5042457192703251, 'skipped_updates': 0, 'training_seconds': 25.496191566000107, 'tuning_accuracy': 0.8365122615803815, 'tuning_f1': 0.8734177215189873}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 129.47616281020518, 'loss': 0.35259020342953845, 'skipped_updates': 0, 'training_seconds': 25.495040387000245, 'tuning_accuracy': 0.8419618528610354, 'tuning_f1': 0.8825910931174089}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 129.49910450404116, 'loss': 0.27537468479851546, 'skipped_updates': 0, 'training_seconds': 25.49052375800011, 'tuning_accuracy': 0.8337874659400545, 'tuning_f1': 0.8792079207920792}, {'accuracy': 0.8676470588235294, 'f1': 0.9059233449477352, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",,full_finetune,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124647170, 'trainable': 124647170, 'trainable_fraction': 1.0}",2604793856,2873098240,full_finetune-3-c3e01f48,3,completed,core,mrpc,practical,95.565520913
faee54295642753b7e0202b9a8b4d9170f54b55cf557f7616bbcb6ac50ecc236,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 727.6295601274713, 'loss': 0.641549364850827, 'skipped_updates': 0, 'training_seconds': 4.536649114999818, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 764.7576900427148, 'loss': 0.6308256208752315, 'skipped_updates': 0, 'training_seconds': 4.316399878000084, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 757.4269100429599, 'loss': 0.6274417609192846, 'skipped_updates': 0, 'training_seconds': 4.358176289000312, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",,head_only,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124647170, 'trainable': 592130, 'trainable_fraction': 0.004750448806820083}",550409728,624951296,head_only-1-faee5429,1,completed,core,mrpc,practical,30.39220298700002
795924a158344a76a755f54f0db9f3631337260be9a5ab2ca1caede8025c6707,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 764.5299129400674, 'loss': 0.6417672589385192, 'skipped_updates': 0, 'training_seconds': 4.317685866999909, 'tuning_accuracy': 0.6757493188010899, 'tuning_f1': 0.8065040650406504}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 742.8802379932354, 'loss': 0.6312209159929585, 'skipped_updates': 0, 'training_seconds': 4.443515699000272, 'tuning_accuracy': 0.6757493188010899, 'tuning_f1': 0.8065040650406504}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 768.3652064434422, 'loss': 0.6310286182756862, 'skipped_updates': 0, 'training_seconds': 4.296134145999986, 'tuning_accuracy': 0.6757493188010899, 'tuning_f1': 0.8065040650406504}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",,head_only,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124647170, 'trainable': 592130, 'trainable_fraction': 0.004750448806820083}",545724928,624951296,head_only-2-795924a1,2,completed,core,mrpc,practical,23.149487101999966
131753df447d1e20c5d2dd5638f40a5da637502380956722c50bc1984e58fdd3,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 765.3216681562556, 'loss': 0.6355769048302861, 'skipped_updates': 0, 'training_seconds': 4.313219052000022, 'tuning_accuracy': 0.6485013623978202, 'tuning_f1': 0.7867768595041322}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 770.434917192813, 'loss': 0.6302720778790859, 'skipped_updates': 0, 'training_seconds': 4.284592931000134, 'tuning_accuracy': 0.6485013623978202, 'tuning_f1': 0.7867768595041322}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 751.6646602154408, 'loss': 0.6273063900395687, 'skipped_updates': 0, 'training_seconds': 4.391586001999713, 'tuning_accuracy': 0.6485013623978202, 'tuning_f1': 0.7867768595041322}, {'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",,head_only,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 124647170, 'trainable': 592130, 'trainable_fraction': 0.004750448806820083}",546838528,624951296,head_only-3-131753df,3,completed,core,mrpc,practical,22.91165365200004
d3806625e5a635f1a16cc4f33e645876cc234a8915e646fe8286e8e5930b87a9,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 3301, 'examples_per_second': 369.8471695184876, 'loss': 0.6401431030857649, 'skipped_updates': 0, 'training_seconds': 8.925308268000663, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 2, 'examples': 3301, 'examples_per_second': 371.93135743479615, 'loss': 0.6292386477853715, 'skipped_updates': 0, 'training_seconds': 8.875293610000881, 'tuning_accuracy': 0.670299727520436, 'tuning_f1': 0.802610114192496}, {'epoch': 3, 'examples': 3301, 'examples_per_second': 370.08308678766866, 'loss': 0.6021774181009205, 'skipped_updates': 0, 'training_seconds': 8.919618641999477, 'tuning_accuracy': 0.6893732970027248, 'tuning_f1': 0.8112582781456954}, {'accuracy': 0.696078431372549, 'f1': 0.8176470588235294, 'split': 'validation'}]","{'equivalent': 1, 'not_equivalent': 0}",,reference_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,621,"{'total': 125534212, 'trainable': 887042, 'trainable_fraction': 0.0070661374765310985}",977092096,2873098240,reference_lora-1-d3806625,1,completed,reference,mrpc,practical,37.80341579099877
8564e703ee8d6bb27e61de22fda7726c87edb54ea7462d49a135c8190d182e9c,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 60614, 'examples_per_second': 582.4260816772078, 'loss': 0.3292057353182614, 'skipped_updates': 0, 'training_seconds': 104.07157561599979, 'tuning_accuracy': 0.9092798812175205, 'tuning_f1': None}, {'epoch': 2, 'examples': 60614, 'examples_per_second': 582.0327926377386, 'loss': 0.25024030881313025, 'skipped_updates': 0, 'training_seconds': 104.14189847499983, 'tuning_accuracy': 0.9183370452858204, 'tuning_f1': None}, {'epoch': 3, 'examples': 60614, 'examples_per_second': 581.4624773336682, 'loss': 0.23579492523501225, 'skipped_updates': 0, 'training_seconds': 104.24404387699997, 'tuning_accuracy': 0.9221974758723088, 'tuning_f1': None}, {'accuracy': 0.9323394495412844, 'f1': None, 'split': 'validation'}]","{'negative': 0, 'positive': 1}",2.384185791015625e-06,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,11367,"{'total': 124942082, 'trainable': 887042, 'trainable_fraction': 0.007099625568909601}",894066688,2873098240,custom_lora-1-8564e703,1,completed,core,sst2,practical,347.65956012400056
259282b156b14fa269fb5c7e168c0135b9a2f81e27e5b6bfa970b17700bd0968,nyu-mll/glue,bcdcba79d07bc864c1c254ccfcedcce55bcc9a8c,cuda,heldout_official_validation,"[{'epoch': 1, 'examples': 60614, 'examples_per_second': 580.1547382571231, 'loss': 0.3358086043538842, 'skipped_updates': 0, 'training_seconds': 104.47902258299928, 'tuning_accuracy': 0.9159613956941351, 'tuning_f1': None}, {'epoch': 2, 'examples': 60614, 'examples_per_second': 581.0947550371399, 'loss': 0.25445563922665343, 'skipped_updates': 0, 'training_seconds': 104.31001050099985, 'tuning_accuracy': 0.9213066072754269, 'tuning_f1': None}, {'epoch': 3, 'examples': 60614, 'examples_per_second': 578.7525856102168, 'loss': 0.23908768894446586, 'skipped_updates': 0, 'training_seconds': 104.73214549199929, 'tuning_accuracy': 0.9207126948775056, 'tuning_f1': None}, {'accuracy': 0.9231651376146789, 'f1': None, 'split': 'validation'}]","{'negative': 0, 'positive': 1}",3.337860107421875e-06,custom_lora,FacebookAI/roberta-base,e2da8e2f811d1448a5b465c236feacd80ffbac7b,11367,"{'total': 124942082, 'trainable': 887042, 'trainable_fraction': 0.007099625568909601}",895705088,2873098240,custom_lora-2-259282b1,2,completed,core,sst2,practical,347.34201961600047
